ticker	cik
atvi	0000718877
cta-pa	0000030554
pxd	0001038357
f	0000037996
ew	0001099800
mpc	0001510295
gm	0001467858
mu	0000723125
shw	0000089800
lrcx	0000707549
nsc	0000702165
ubs	0001610520
ntes	0001110646
epd	0001061219
etn	0001551182
dg	0000029534
slb	0000087347
abb	0001091587
eqix	0001101239
ice	0001571949
met	0001099219
mrna	0001682852
apd	0000002969
psa	0001393311
sre	0001032208
tri	0001075124
fdx	0001048911
amov	0001129137
mar	0001048286
kdp	0001418135
rbgly	0001420798
mco	0001059556
fis	0001136893
mck	0000927653
klac	0000319201
ntr	0001725964
cnc	0001071739
aep	0000004904
itub	0001132597
enlay	0001096200
race	0001648416
relx	0000929869
meli	0001099590
prndy	0000899108
snps	0000883241
cmg	0001058090
emr	0000032604
vmw	0001124610
adm	0000007084
dvn	0001090012
trp	0001232384
orly	0000898173
ecl	0000031462
mnst	0000865752
rsg	0001060391
su	0000311337
gis	0000040704
ctva	0001755672
hsy	0000047111
cdns	0000813672
abev	0001565025
stz	0000016918
aig	0000005272
bidu	0001329099
san	0000891478
lhx	0000202058
edu	0001372920
adsk	0000769397
azo	0000866787
lulu	0001397187
cof	0000927628
fcx	0000831259
lng	0000003570
aph	0000820313
ngg	0001004315
vlo	0001035002
payx	0000723531
bsbr	0001471055
hmc	0000715153
nxpi	0001413447
stla	0001605484
khc	0001637459
bce	0000718940
exc	0001109357
enph	0001463101
tak	0001395064
kmi	0001506307
ctas	0000723254
smfg	0001022837
crwd	0001535527
e	0001002242
kmb	0000055785
syy	0000096021
tel	0001385157
rop	0000882835
trv	0000086312
gld	0001222333
msi	0000068505
a	0001090872
wmb	0000107263
iqv	0001478242
xel	0000072903
afl	0000004977
mrvl	0001835632
jci	0000833444
lyg	0001160106
hes	0000004447
wday	0001327811
wcn	0001318220
et	0001276187
ajg	0000354190
gpn	0001123360
cve	0001475260
tt	0001466258
hlt	0001585689
msci	0001408198
ing	0001039765
all	0000899051
bk	0001390777
bf-a	0000014693
scco	0001001838
nwg	0000844150
anet	0001596532
o	0000726728
psx	0001534701
mchp	0000827054
bbd	0001160330
kr	0000056873
ea	0000712515
rivn	0001874178
carr	0001783180
pru	0001137774
bntx	0001776985
dow	0001751788
ed	0001047862
ph	0000076334
apo	0001858681
nio	0001736541
vod	0000839923
se	0001703399
nem	0001164727
yum	0001041061
twtr	0001418091
peg	0000788784
mplx	0001552000
bcs	0000312069
mfc	0001086888
alb	0000915913
nue	0000073309
sbac	0001034054
alc	0001167379
ctsh	0001058290
rmd	0000943819
spg	0001063761
tdg	0001260221
stm	0000932787
bbva	0000842180
ttd	0001671933
imo	0000049938
ifnny	0001107457
cpng	0001834584
sq	0001512673
wec	0000783325
dlr	0001297996
well	0000766704
danoy	0001048515
rost	0000745732
ilmn	0001110803
gfs	0001709048
amp	0000820027
dltr	0000935703
iau	0001278680
biib	0000875045
puk	0001116578
lvs	0001300514
keys	0001601046
es	0000072741
cmi	0000026172
sqm	0000909037
ddog	0001561550
pcar	0000075362
idxx	0000874716
vrsk	0001442145
dfs	0001393612
wba	0001618921
bax	0000010456
tlk	0001001807
pcg	0001004980
odfl	0000878927
tu	0000868675
on	0001097864
otis	0001781335
cht	0001132924
hpq	0000047217
abc	0001140859
ibkr	0001381197
kkr	0001404912
mfg	0001335730
ppery	0001461748
hcmly	0000948696
dell	0001571996
csgp	0001057352
ppg	0000079879
mtd	0001037646
dd	0001666700
rok	0001024478
expgy	0001376891
avb	0000915912
caixy	0001535628
ame	0001037868
baesy	0000895564
ceg	0001868275
dnbby	0001498632
oke	0001039684
glw	0000024741
wit	0001123799
nok	0000924613
gww	0000277135
eqr	0000906107
rweoy	0000939380
crh	0000849395
fast	0000815556
lcid	0001811210
gold	0000756894
veev	0001393052
awk	0001410636
iff	0000051253
oran	0001038143
cqp	0001383650
ebay	0001065088
li	0001791706
hal	0000045012
frc	0001132979
cprt	0000900075
lyb	0001489393
cbre	0001138118
tsn	0000100493
aptv	0001521332
stt	0000093751
eix	0000827052
clr	0000732834
sgen	0001060736
slf	0001097362
trow	0001113169
nu	0001691493
dte	0000936340
dia	0001041130
rblx	0001315098
ferg	0001832433
ctra	0000858470
exr	0001289490
alny	0001178670
hrl	0000048465
it	0000749251
dhi	0000882184
zs	0001713683
mdy	0000936958
fitb	0000035527
fang	0001539838
zbh	0001136869
mtb	0000036270
k	0000055067
wegzy	0001445166
gmab	0001434265
arzgy	0001379235
zm	0001585521
caj	0000016988
siri	0000908937
fmx	0001061736
aee	0001002910
wy	0000106535
epam	0001352010
are	0001035443
etr	0000065984
ckhuy	0001637120
ftv	0001659166
fe	0001031296
cdw	0001402057
ulta	0001403568
zto	0001677250
vwdry	0001330306
efx	0000033185
eric	0000717826
wtw	0001140536
fnv	0001456346
len	0000920760
hig	0000874766
rjf	0000720005
sivb	0000719739
lgfry	0001554394
gwlif	0000850918
invh	0001687229
dash	0001792789
tef	0000814052
gpc	0000040987
lnngy	0001447629
cm	0001045520
luv	0000092380
ccep	0001650107
cf	0001324404
ppl	0000922224
yumc	0001673358
vmc	0001396009
net	0001477333
lh	0000920148
ec	0001444406
tsco	0000916365
rf	0001281761
dal	0000027904
rci	0000733099
bkr	0001701605
ttm	0000926042
payc	0001590955
anss	0001013462
mlm	0000916076
codyy	0001012037
hban	0000049196
mkc	0000063754
dre	0000783280
uri	0001067701
mro	0000101778
vici	0001705696
lyv	0001335258
pfg	0001126328
poahy	0001450346
fts	0001666175
wst	0000105770
cnp	0001130310
coin	0001679788
tscdy	0000885834
ir	0001699150
moh	0001179929
ste	0001757898
mt	0001243429
spot	0001639920
algn	0001097149
mos	0001285785
ntrs	0000073124
argx	0001697862
pwr	0001050915
pba	0001546066
vrsn	0001014473
mpwr	0001280452
cms	0000811156
hei	0000046619
chd	0000313927
db	0001159508
ptaiy	0001455967
snap	0001564408
maa	0000912595
br	0001383312
agr	0001634997
atasy	0001437775
foxa	0001754301
vtr	0000740260
gib	0001061574
ix	0001070304
ui	0001511737
cah	0000721371
lpla	0001397911
qsr	0001618756
pcrfy	0000063271
jbht	0000728535
acgl	0000947484
eqt	0000033213
rprx	0001802768
amcr	0001748790
wat	0001000697
podd	0001145197
syf	0001601712
aes	0000874761
panw	0001327567
zi	0001794515
anyyy	0001700171
sui	0000912593
dov	0000029905
rol	0000084839
bby	0000764478
tdy	0001094285
bro	0000079282
clx	0000021076
teck	0000886986
bgne	0001651308
holx	0000859737
xyl	0001524472
iclr	0001060955
ess	0000920522
dri	0000940944
hpe	0001645590
plug	0001093691
elp	0001041792
fds	0001013237
tcom	0001269238
key	0000091576
tsgty	0000939383
grmn	0001121788
pins	0001506293
mga	0000749098
pki	0000031791
flt	0001175454
swks	0000004127
trgp	0001389170
cnhi	0001567094
sedg	0001419612
expd	0000746515
wab	0000943452
mtch	0000891103
expe	0001324424
bill	0001786352
mkl	0001096343
ts	0001190723
lbrda	0001611983
bmrn	0001048477
mgm	0000789570
cag	0000023217
cinf	0000020286
cfg	0000759944
pltr	0001321655
swmay	0001011218
vfc	0000103379
chkp	0001015922
zbra	0000877212
ryaay	0001038683
csl	0000790051
umc	0001033767
iex	0000832101
snmry	0001437771
evrg	0001711269
mdb	0001441816
phg	0000313216
wpc	0001025378
hldcy	0000811250
irm	0001020569
j	0000052988
ip	0000051434
ntap	0001002047
ctlt	0001596783
lsxma	0001560385
dgx	0001022079
incy	0000879169
chwy	0001766502
ato	0000731802
stld	0001022671
lnt	0000352541
sjm	0000091419
azpn	0001897982
rkt	0001805284
trmb	0000864749
tw	0001758730
tyl	0000860731
avy	0000008818
splk	0001353283
coo	0000711404
ttwo	0000946581
omc	0000029989
hwm	0000004281
smpny	0001669414
sgioy	0001281721
hznp	0001492426
akam	0001086222
hubs	0001404655
jkhy	0000779152
wpm	0001323404
iep	0000813762
lkq	0001065696
etsy	0001370637
jrony	0001438077
cpb	0000016732
bio	0000012208
avtr	0001722482
txt	0000217346
xpev	0001810997
znh	0001041668
l	0000060086
fslr	0001274494
wmg	0001319161
chrw	0001043277
swk	0000093556
nvr	0000906163
pcty	0001591698
stx	0001137789
udr	0000074208
twlo	0001447669
peak	0000765880
kb	0001445930
kmx	0001170010
fmc	0000037785
tpl	0001811074
ssnc	0001402436
wolf	0000895419
prdsy	0001527249
ptc	0000857005
ter	0000097210
ebr	0001439124
ovv	0001792580
viv	0001066119
cpt	0000906345
pool	0000945841
gnrc	0001474735
shg	0001263043
tru	0001552033
apa	0001841666
ares	0001176948
kof	0000910631
els	0000895417
ndsn	0000072331
ldos	0001336920
rcl	0000884887
hst	0001070750
bxp	0001037540
ctxs	0000877890
aci	0001646972
rgen	0000730272
bg	0001144519
frfhf	0000915191
nice	0001003935
cs	0001159510
kim	0000879101
ccl	0000815097
dpz	0001286681
cnttq	0001652499
cboe	0001374310
fhn	0000036966
sjr	0000932872
gddy	0001609711
entg	0001101302
bip	0001406234
pkg	0000075677
ual	0000100517
nlok	0000849399
pkx	0000889132
fico	0000814547
ar	0001433270
cck	0001219601
tech	0000842023
bah	0001443646
ben	0000038777
atlky	0000748954
vst	0001692819
chk	0000895126
dar	0000916540
wlk	0001262823
abmd	0000815094
hubb	0000048898
wrb	0000011544
mas	0000062996
eqh	0001333986
docu	0001261333
amh	0001562401
htht	0001483994
rpm	0000110621
glpi	0001575965
wdc	0000106040
emraf	0001127248
ce	0001306830
ssl	0000314590
erie	0000922621
ptbry	0001504122
vtrs	0001792044
wtrg	0000078128
y	0000775368
bouyy	0001445475
ccj	0001009001
sna	0000091440
asx	0001122411
wes	0001423902
jxhly	0001487533
cea	0001030475
ni	0001111711
aer	0001378789
lw	0001679273
fnf	0001331875
ally	0000040729
suz	0000909327
cuk	0001125259
re	0001095073
cg	0001527166
rs	0000861884
nfe	0001749723
u	0001810806
afg	0001042046
dqjcy	0001446597
tap	0000024545
grab	0001855612
dt	0001773383
mmp	0001126975
nrg	0001013871
ipg	0000051644
xp	0001787425
emn	0000915389
tfx	0000096943
ggg	0000042888
icl	0000941221
sbny	0001288784
snn	0000845982
has	0000046080
mgddy	0000896076
nmr	0001163653
bldr	0001316835
nly	0001043219
bep	0001533232
wso	0000105016
ewbc	0001069157
cma	0000028412
bki	0001627014
ihg	0000858446
aap	0001158449
zshgy	0001495686
bj	0001531152
cna	0000021175
bntgy	0001533945
gl	0000320335
crl	0001100682
h	0001468174
tost	0001650164
uhal	0000004457
ateyy	0001158838
qgen	0001015820
ndaq	0001120193
nwsa	0001564708
acm	0000868857
wrk	0001732845
bap	0001001290
nbix	0000914475
wpp	0000806968
lbtya	0001570585
wsm	0000719955
dox	0001062579
aem	0000002809
sci	0000089089
swav	0001642545
reg	0000910606
nlsn	0001492633
hsic	0001000228
czr	0001590895
uthr	0001082554
roku	0001428439
dks	0001089063
bhvn	0001689813
jhx	0001159152
rrx	0000082811
phm	0000822416
fms	0001333141
agl	0001831097
morn	0001289419
teva	0000818686
bsy	0001031308
gfl	0001780232
mktx	0001278021
okta	0001660134
armk	0001584509
gshn	0001639327
lsi	0000944314
srpt	0000873303
bbwi	0000701985
dbrg	0001679688
wms	0001604028
lamr	0001090425
cube	0001298675
nvcr	0001645113
asxfy	0001449003
dva	0000927066
wsc	0001647088
ttc	0000737758
qrvo	0001604778
hood	0001783879
aeg	0000769218
lnvgy	0000932477
zg	0001617640
bch	0001161125
jazz	0001232524
deck	0000910521
mtn	0000812011
hii	0001501585
tfii	0001588823
zen	0001463172
burl	0001579298
aal	0000006201
zion	0000109380
ffiv	0001048695
lumn	0000018926
lii	0001069202
dish	0001001082
tpr	0001116132
car	0000723612
app	0001751008
cday	0001725057
jnpr	0001043604
bdnny	0001446457
glob	0001557860
bz	0001842827
rexr	0001571283
cfr	0000039263
aqn	0001174169
htz	0001657853
vivhy	0001127055
lnc	0000059558
bwa	0000908255
aiz	0001267238
manh	0001056696
whr	0000106640
lu	0001816007
kep	0000887225
rga	0000898174
dxcm	0001093557
arcc	0001287750
dscsy	0001671750
snx	0001177394
stor	0001538990
paa	0001070423
eslt	0001027664
gtlb	0001653482
rhi	0000315213
wfg	0001402388
glpey	0001385535
rdy	0001135951
masi	0000937556
cbsh	0000022356
remyy	0001552653
jbl	0000898293
flex	0000866374
g	0001398659
fnd	0001507079
aos	0000091142
prymy	0001437672
oc	0001370946
slvyy	0000930826
alle	0001579241
jll	0001037976
tme	0001744676
dbx	0001467623
pnw	0000764622
pstg	0001474432
unm	0000005513
ftnt	0001262039
uso	0001327068
adooy	0001489079
brkr	0001109354
pag	0001019849
kkoyy	0001436794
fcnca	0000798941
axon	0001069183
lea	0000842162
swch	0001710583
jef	0000096223
oge	0001021635
logi	0001032975
mpw	0001287865
fbhs	0001519751
rrc	0000315852
bsmx	0001698287
leco	0000059527
aa	0001675149
knx	0001492691
grfs	0001438569
avlr	0001348036
agco	0000880266
path	0001734722
casy	0000726958
uelmo	0000100826
chng	0001756497
uhs	0000352915
dcp	0001338065
otex	0001002638
midd	0000769520
hrb	0000012659
dlo	0001846832
nxst	0001142417
ugi	0000884614
aseky	0001450206
cms-pb	0000201533
pso	0000938323
dkng	0001883685
tixt	0001825155
estc	0001707753
frt	0000034903
oln	0000074303
swn	0000007332
skm	0001015650
mat	0000063276
run	0001469367
nnn	0000751364
chdn	0000020212
seic	0000350894
wal	0001212545
five	0001177609
clf	0000764065
ymm	0001838413
olpx	0001868726
celh	0001341766
gtls	0000892553
pfgc	0001618673
miufy	0001447113
pen	0001321732
ivz	0000914208
cold	0001455863
wynn	0001174922
achc	0001520697
see	0001012100
pcor	0001611052
clvt	0001764046
alsmy	0001062066
ggb	0001073404
pac	0001347557
s	0001583708
cgnx	0000851205
che	0000019584
dlb	0001308547
lad	0001023128
bsac	0001027552
jpxgy	0001600520
mdiby	0001379481
ogn	0001821825
bery	0001378992
ohi	0000888491
an	0000350698
mtlhy	0001446418
rba	0001046102
krtx	0001771917
musa	0001573516
pnr	0000077360
xray	0000818479
cacc	0000885550
ttek	0000831641
vips	0001529192
elan	0001739104
nwl	0000814453
stwd	0001465128
voya	0001535929
exas	0001124140
cflt	0001699838
levi	0000094845
rnr	0000913144
gpk	0001408075
bepc	0001791863
bili	0001723690
kbr	0001357615
lscc	0000855658
osh	0001564406
arw	0000007536
cpri	0001530721
rkuny	0001294591
dxc	0001688568
atr	0000896622
isday	0001224306
nep	0001603145
roll	0001324948
mtdr	0001520006
nov	0001021860
rl	0001037038
mhk	0000851968
adt	0001703056
gfi	0001172724
yndx	0001513845
ori	0000074260
afrm	0001820953
cib	0001071371
pii	0000931015
ions	0000874015
wcc	0000929008
usfd	0001665918
legn	0001801198
fr	0000921825
crcby	0001553915
wex	0001309108
pb	0001068851
mssmy	0001710864
xm	0001747748
cvna	0001690820
oukpy	0001436786
clh	0000822818
edr	0001766363
accyy	0001049183
chh	0001046311
cien	0000936395
asr	0001123452
dseey	0001481045
futu	0001754581
egp	0000049600
alv	0001034670
nfg	0000070145
nclh	0001513761
caci	0000016058
cabo	0001632127
airc	0001820877
st	0001477294
iot	0001642896
thc	0000070318
pnfp	0001115055
dci	0000029644
chpt	0001777393
bpop	0000763901
sbs	0001170858
csan	0001430162
eme	0000105634
hog	0000793952
coty	0001024305
sbsw	0001786909
bokf	0000875357
dnb	0001799208
cnxc	0001803599
apls	0001492422
wh	0001722684
txrh	0001289460
brx	0001581068
pdce	0000077877
sf	0000720672
mur	0000717423
ppc	0000802481
gmed	0001237831
trq	0001158041
shlx	0001610466
asnd	0001612042
gntx	0000355811
itt	0000216228
vac	0001524358
gil	0001061894
son	0000091767
uwmc	0001783398
mndy	0001845338
docs	0001516513
mtz	0000015615
ffin	0000036029
cybr	0001598110
hqy	0001428336
fybr	0000020520
phi	0000078150
mdu	0000067716
byd	0000906553
rcm	0001910851
wf	0001264136
qlys	0001107843
slv	0001330568
rgld	0000085535
kt	0000892450
gh	0001576280
wwd	0000108312
halo	0001159036
irdm	0001418819
infa	0001868778
agnc	0001423689
snv	0000018349
fsk	0001422183
vmi	0000102729
dsgx	0001050140
fivn	0001288847
reyn	0001786431
alk	0000766421
krc	0001025996
lyft	0001759509
dooo	0001748797
opch	0001014739
hun	0001307954
cw	0000026324
nvst	0001757073
onon	0001858985
crsp	0001674416
sndl	0001766600
ssb	0000764038
mp	0001801368
exls	0001297989
axta	0001616862
nvt	0001720635
xpo	0001166003
plnt	0001637207
gbci	0000868671
timb	0001826168
ash	0001674862
skx	0001065837
hcp	0001720671
lnth	0001521036
bc	0000014930
bld	0001633931
tx	0001342874
wu	0001365135
iac	0001800227
cccs	0001818201
dds	0000028917
ayi	0001144215
faf	0001472787
dtm	0001842022
cae	0001173382
rh	0001528849
knsl	0001669162
lstr	0000853816
pycr	0001839439
drvn	0001804745
ingr	0001046257
cc	0001627223
tmbby	0001531740
au	0001067428
ccoey	0001551467
flo	0001128928
gwre	0001528396
lite	0001633978
x	0001163302
hli	0001302215
post	0001530950
cr	0000025445
synh	0001610950
medp	0001668397
fsv	0001637810
stag	0001479094
insp	0001609550
sm	0000893538
exel	0000939767
ida	0001057877
ozk	0001569650
tpx	0001206264
lthm	0001742924
stn	0001131383
osk	0000775158
cx	0001076378
civi	0001509589
lfus	0000889331
ora	0001296445
prgo	0001585364
saic	0001571123
trex	0001069878
coup	0001385867
fcn	0000887936
slab	0001038074
penn	0000921738
tmx	0001428875
slgn	0000849869
dava	0001656081
src	0001308606
wwe	0001091907
nyt	0000071691
tol	0000794170
pags	0001712807
ntnx	0001618732
adc	0000917251
lhcg	0001303313
sofi	0001818874
cade	0001299939
nati	0000935494
tdoc	0001477449
ntla	0001652130
pri	0001475922
amg	0001004434
amc	0001411579
site	0001650729
glbe	0001835963
w	0001616707
mksi	0001049502
ehc	0000785161
vno	0000899689
bncdy	0001667075
qs	0001811414
orcc	0001655888
amn	0001142750
tnet	0000937098
ubsi	0000729986
gxo	0001852244
zlab	0001704292
saia	0001177702
m	0000794367
vvv	0001674910
sgfy	0001828182
bwxt	0001486957
enlc	0001592000
wtfc	0001015328
cigi	0000913353
lysdy	0001444327
am	0001623925
rli	0000084246
hxl	0000717605
sigi	0000230557
swx	0001692115
leg	0000058492
vrt	0001674101
tsem	0000928876
tkr	0000098362
bkh	0001130464
thg	0000944695
vly	0000714310
asgn	0000890564
hgv	0001674168
ntra	0001604821
bxmt	0001061630
smar	0001366561
oled	0001005284
hp	0000046765
tgna	0000039899
asan	0001477720
sim	0000887153
ryn	0000052827
stvn	0001849853
expo	0000851520
colm	0001050797
ensg	0001125376
docn	0001582961
bkgfy	0001447137
msa	0000066570
mfa	0001055160
asai	0001834048
mtg	0000876437
rog	0000084748
rhp	0001040829
lpx	0000060519
jsgry	0001442656
bmbl	0001830043
dna	0001830214
ipgp	0001111928
crk	0000023194
gds	0001526125
iaa	0001745041
srcl	0000861878
exp	0000918646
jscpy	0001449005
lanc	0000057515
omf	0001584207
ivr	0001437071
embk	0001827980
cytk	0001061983
ryan	0001849253
cmc	0000022444
spwr	0000867773
esi	0001590714
axs	0001214816
nvei	0001765159
mrtx	0001576263
crox	0001334036
irtc	0001388658
ufpi	0000912767
eeft	0001029199
slm	0001032033
be	0001664703
dv	0001819928
ayx	0001689923
novt	0001076930
sfbs	0001430723
prva	0001759655
por	0000784977
nycb	0000910073
adrzy	0001436467
amkr	0001047127
chx	0001723089
spsc	0001092699
trno	0001476150
phys	0001477049
aqua	0001604643
cere	0001805387
mituy	0001446420
wts	0000795403
lkncy	0001767582
hwc	0000750577
val	0000314808
wen	0000030697
gbt	0001629137
bak	0001071438
ntco	0001776967
wix	0001576789
staa	0000718937
pltk	0001828016
umbf	0000101382
wbs	0000801337
esnt	0001448893
cwen	0001567683
eva	0001592057
crus	0000772406
bpmc	0001597264
seas	0001564902
shc	0001822479
msm	0001003078
algm	0000866291
azihy	0001533475
psn	0000275880
den	0000945764
aso	0001817358
njr	0000356309
dq	0001477641
wb	0001595761
syna	0000817720
athm	0001527636
mq	0001522540
cwst	0000911177
shop	0001594805
ogs	0001587732
unvr	0001494319
ubsfy	0001446702
tho	0000730263
bxsl	0001736035
seb	0000088121
pinc	0001577916
tenb	0001660280
ab	0000825313
ftch	0001740915
curlf	0001756770
fti	0001681459
rng	0001384905
cig	0001157557
mgy	0001698990
nsa	0001618563
he	0000354707
auy	0001264089
wtm	0000776867
cbt	0000016040
is	0001837430
kgc	0000701818
atus	0001702780
irt	0001466085
wing	0001636222
beam	0001745999
etrn	0001747009
itci	0001567514
al	0001487712
frsh	0001544522
krg	0001286043
bl	0001666134
powi	0000833640
bcpc	0000009326
wns	0001356570
pnm	0001108426
jhg	0001274173
cpg	0001545851
mxchy	0001435969
sam	0000949870
twks	0001866550
ait	0000109563
vet	0001293135
coke	0000317540
kex	0000056047
iart	0000917520
nsp	0001000753
four	0001794669
owl	0001823945
trtn	0001660734
cnm	0001856525
erf	0001126874
r	0000085961
kss	0000885639
cuz	0000025232
avt	0000008858
box	0001372612
awi	0000007431
hae	0000313143
ptcay	0001547873
bhf	0001685040
man	0000871763
newr	0001448056
bfam	0001437578
ihcpf	0001508633
fele	0000038725
fl	0000850209
umpq	0001077771
amed	0000896262
fizz	0000069891
woof	0001826470
sndr	0001692063
ati	0001018963
homb	0001331520
fnb	0000037808
mtsi	0001493594
tfsl	0001381668
dnp	0000806628
act	0001823529
alks	0001520262
ncr	0000070866
azta	0000933974
laz	0001311370
pgny	0001551306
abcm	0001492074
pvh	0000078239
duol	0001562088
sji	0000091928
becn	0001124941
fcfs	0000840489
lpl	0001290109
amrc	0001488139
dnli	0001714899
ebc	0001810546
ptct	0001070081
peco	0001476204
ambp	0001845097
altr	0001701732
msgs	0001636519
ago	0001273813
txg	0001770787
rdn	0000890926
tndm	0001438133
mms	0001032220
esgr	0001363829
flr	0001124198
fn	0001408710
atkr	0001666138
nari	0001531048
oaofy	0001058255
uaa	0001336917
abg	0001144980
alsn	0001411207
gt	0000042582
indb	0000776901
dei	0001364250
arwr	0000879407
igt	0001619762
grp-un	0001564538
cnx	0001070412
zim	0001654126
lac	0001440972
evo	0001412558
ay	0001601072
pwsc	0001835681
slfpy	0001370418
tnl	0001361658
hhc	0001498828
golf	0001672013
ccxi	0001340652
atco	0001794846
axnx	0001603756
olli	0001639300
foxf	0001424929
eurn	0001604481
evr	0001360901
alit	0001809104
calx	0001406666
aple	0001418121
ssd	0000920371
spt	0001517375
fls	0000030625
trip	0001526520
ncno	0001902733
fix	0001035983
bcucy	0001581285
icui	0000883984
tal	0001499620
bipc	0001788348
sr	0001126956
ajrd	0000040888
envx	0001828318
vc	0001111335
zd	0001084048
crc	0001609253
ucbi	0000857855
pton	0001639825
appf	0001433195
wk	0001445305
apg	0001796209
cvbf	0000354647
doc	0001574540
chffy	0001601994
hgty	0001840776
mli	0000089439
dfihy	0000871459
mmyt	0001495153
avnt	0001122976
evh	0001628908
joby	0001819848
irdey	0001530256
btg	0001429937
qdel	0001906324
bb	0001070235
tv	0000912892
pbf	0001534504
tdc	0000816761
ael	0001039828
sem	0001320414
cns	0001284812
cef	0001726122
brp	0001781755
sid	0001049659
gatx	0000040211
go	0001771515
cbu	0000723188
alrm	0001459200
nea	0001195737
vnt	0001786842
hr	0001360604
lope	0001434588
vlpny	0001378984
viav	0000912093
appn	0001441683
bsm	0001621434
gps	0000039911
lfst	0001845257
fhb	0000036377
mmsi	0000856982
pk	0001617406
onto	0000704532
bku	0001504008
sun	0001552275
hri	0001364479
smci	0001375365
coop	0000933136
lazr	0001758057
chgg	0001364954
sum	0001621563
abcb	0000351569
txmd	0000025743
esmt	0001863105
twnk	0001644406
gsat	0001366868
paas	0000771992
pega	0001013857
inst	0001841804
gtes	0001718512
asmvy	0001447945
dy	0000067215
onem	0001404123
wsfs	0000828944
brze	0001676238
frhc	0000924805
caty	0000861842
fhi	0001056288
aur	0001828108
hasi	0001561894
zws	0001439288
ful	0000039368
banf	0000760498
unf	0000717954
pacw	0001102112
rare	0001515673
cd	0001807192
cpa	0001345105
awr	0001056903
cwk	0001628369
glpg	0001421876
boh	0000046195
pfsi	0001745916
dufry	0001546354
egfey	0001437178
gef	0000043920
sqsp	0001496963
arlp	0001086600
eqc	0000803649
aeis	0000927003
srad	0001836470
asb	0000007789
mnmd	0001813814
sauhy	0001451279
knbe	0001664998
pten	0000889900
wd	0001497770
epr	0001045450
tcbi	0001077428
mrvi	0001823239
aval	0001504764
cwt	0001035201
sxt	0000310142
vsbc	0001697884
yeti	0001670592
neu	0001282637
sbra	0001492298
nova	0001772695
sfm	0001575515
adnt	0001670541
hiw	0000921082
vrns	0001361113
ale	0000066756
nomd	0001651717
ppbi	0001028918
abcl	0001703057
nni	0001258602
jxn	0001822993
pch	0001338749
sig	0000832988
slg	0001040971
kos	0001509991
cri	0001060822
